,developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
2253,9957089001,Строительная компания СУ-7,"Костромская область, 156023, г. Кострома, ул. Гагарина, д. 21",1765,Костромская область,2019-03-22,2019-03-22,6596,144,2,2.033047814843468,100.0,9
2254,10984329001,БМ,"Тульская область, 300034, город Тула, ул. Пушкинская, д. 55А, оф. комната 29",1,Итого,2019-03-18,2019-03-18,6610,140,1,0.004852198367382797,100.0,2219
2255,10984329001,БМ,"Тульская область, 300034, город Тула, ул. Пушкинская, д. 55А, оф. комната 29",1774,Тульская область,2019-03-18,2019-03-18,6610,140,1,0.643535727429031,100.0,27
2256,10821330001,Регионстрой,"Вологодская область, 160029, город Вологда, ул. Судоремонтная, д. 2в",1,Итого,2019-03-05,2019-03-06,6613,132,2,0.0048544005754164055,73.29502495085438,2218
2257,10821330001,Регионстрой,"Вологодская область, 160029, город Вологда, ул. Судоремонтная, д. 2в",1323,Вологодская область,2019-03-05,2019-03-06,6613,132,2,0.5672212505971992,73.29502495085438,32
2258,6795429001,Первое жилье,"Новосибирская область, 630052, г. Новосибирск, ш. Толмачевское, д. 47А, корп. 3, оф. 20",1,Итого,2019-03-15,2019-03-15,6634,175,1,0.00486981603165166,0.0,2212
2259,6795429001,Первое жилье,"Новосибирская область, 630052, г. Новосибирск, ш. Толмачевское, д. 47А, корп. 3, оф. 20",1545,Новосибирская область,2019-03-15,2019-03-15,6634,175,1,0.1812337059724893,0.0,82
2260,9909647001,Производственно-Строительная компания РАЗВИТИЕ,"Красноярский край, 660075, г. Красноярск, ул. Маерчака, д. 38, оф. 802",1,Итого,2019-03-20,2019-03-20,6686,100,1,0.004907987637567532,0.0,2207
2261,9909647001,Производственно-Строительная компания РАЗВИТИЕ,"Красноярский край, 660075, г. Красноярск, ул. Маерчака, д. 38, оф. 802",1544,Красноярский край,2019-03-20,2019-03-20,6686,100,1,0.209417458638016,0.0,51
2262,3138740001,Производственно-строительный комплекс Перспектива,"Кировская область, 610010, г. Киров, ул. Индустриальная, д. 7",1,Итого,2017-05-19,2019-03-21,6615,149,2,0.004855868714105477,100.0,2216
2263,3138740001,Производственно-строительный комплекс Перспектива,"Кировская область, 610010, г. Киров, ул. Индустриальная, д. 7",1208,Кировская область,2017-05-19,2019-03-21,6615,149,2,0.822066936008023,100.0,13
2264,6600886001,Группа компаний СтройКом,"Ростовская область, р-н Аксайский, 346720, г. Аксай, ул. Мира, д. 4, стр. ЭТАЖ П/А, оф. 11",1,Итого,2019-03-14,2019-03-14,6646,135,1,0.004878624863786093,0.0,2211
2265,6600886001,Группа компаний СтройКом,"Ростовская область, р-н Аксайский, 346720, г. Аксай, ул. Мира, д. 4, стр. ЭТАЖ П/А, оф. 11",1883,Ростовская область,2019-03-14,2019-03-14,6646,135,1,0.1872178597837952,0.0,75
2266,7785317001,СеверСтрой,"Тамбовская область, 392003, г. Тамбов, ул. Агапкина, д. 13",1,Итого,2017-07-03,2019-03-04,6670,174,2,0.004896242528054956,100.0,2209
2267,7785317001,СеверСтрой,"Тамбовская область, 392003, г. Тамбов, ул. Агапкина, д. 13",1772,Тамбовская область,2017-07-03,2019-03-04,6670,174,2,1.8407616944942735,100.0,16
2268,5482734001,Астраханский Домостроительный Комбинат,"Астраханская область, 414032, г. Астрахань, пр-д 8-й Энергетический, д. 3",1,Итого,2016-07-27,2019-03-04,6647,142,1,0.004879358933130629,100.0,2210
2269,5482734001,Астраханский Домостроительный Комбинат,"Астраханская область, 414032, г. Астрахань, пр-д 8-й Энергетический, д. 3",1876,Астраханская область,2016-07-27,2019-03-04,6647,142,1,1.722475887410663,100.0,14
