developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
417967001,Группа компаний Модуль-Стройград,"Калининградская область, 236039, г. Калининград, ул. Эпроновская, д. 12, оф. 4",1325,Калининградская область,2016-05-18,2019-04-02,152814.0,2856,33,8.757359691640811,23.81260879238813,2
5696575001,Группа компаний ИНСИТИ,"Краснодарский край, 350087, г. Краснодар, ул. Петра Метальникова, д. 1",1,Итого,2017-09-15,2019-04-02,152111.0,2930,136,0.11166002206671176,0.0,161
5696575001,Группа компаний ИНСИТИ,"Краснодарский край, 350087, г. Краснодар, ул. Петра Метальникова, д. 1",1879,Краснодарский край,2017-09-15,2019-04-02,152111.0,2930,136,1.7448153996066706,0.0,11
2744319001,Bonava,"г.Санкт-Петербург, 191025, г. Санкт-Петербург, пр-кт Невский, д. 114-116, корп. лит. А",1,Итого,2017-05-26,2019-04-01,151143.0,2203,29,0.11094944294120092,0.0,162
2744319001,Bonava,"г.Санкт-Петербург, 191025, г. Санкт-Петербург, пр-кт Невский, д. 114-116, корп. лит. А",1326,Ленинградская область,2017-05-26,2019-04-01,64950.0,982,21,1.1829131608787395,0.0,24
2744319001,Bonava,"г.Санкт-Петербург, 191025, г. Санкт-Петербург, пр-кт Невский, д. 114-116, корп. лит. А",1324,г. Санкт-Петербург,2017-05-26,2019-04-01,86193.0,1221,8,0.572533344970919,0.0,33
5380617001,Группа компаний АльфаСтройИнвест,"Краснодарский край, г. Краснодар, ул. Воровского, д. 103, оф. 1",1,Итого,2017-05-04,2019-03-26,150642.0,3540,16,0.1105816741995884,33.59222527581949,163
5380617001,Группа компаний АльфаСтройИнвест,"Краснодарский край, г. Краснодар, ул. Воровского, д. 103, оф. 1",1879,Краснодарский край,2017-05-04,2019-03-26,82324.0,1766,12,0.9443116076892504,61.469316359749286,26
5380617001,Группа компаний АльфаСтройИнвест,"Краснодарский край, г. Краснодар, ул. Воровского, д. 103, оф. 1",1883,Ростовская область,2017-05-04,2019-03-26,68318.0,1774,4,1.9245184689601744,0.0,14
7403742001,Орбита,"Московская область, р-н Раменский, 140105, г. Раменское, ш. Северное, д. 14, оф. ПОМЕЩЕНИЕ V",1,Итого,2019-03-14,2019-03-14,148512.0,3575,13,0.10901810649572677,100.0,164
